02	Neoplasms
    	Neoplasms of brain or central nervous system
        2A00	Primary neoplasms of brain
            2A00.0	Gliomas of brain
                2A00.00	Glioblastoma of brain
                2A00.0Y	Other specified gliomas of brain
                2A00.0Z	Gliomas of brain, unspecified
            2A00.1	Embryonal tumours of brain
                2A00.10	Medulloblastoma of brain
                2A00.11	Central primitive neuroectodermal tumour
                2A00.1Y	Other specified embryonal tumours of brain
                2A00.1Z	Embryonal tumours of brain, unspecified
            2A00.2	Tumours of neuroepithelial tissue of brain
                2A00.20	Tumours of the pineal gland or pineal region
                2A00.21	Mixed neuronal-glial tumours
                2A00.22	Choroid plexus tumours
                2A00.2Y	Other specified tumours of neuroepithelial tissue of brain
                2A00.2Z	Tumours of neuroepithelial tissue of brain, unspecified
            2A00.3	Central neurocytoma of brain
            2A00.4	Astroblastoma of the brain
            2A00.5	Primary neoplasm of brain of unknown or unspecified type
        2A01	Primary neoplasms of meninges
            2A01.0	Meningiomas
                2A01.00	Primary malignant meningioma
                2A01.0Y	Other specified meningiomas
                2A01.0Z	Meningiomas, unspecified
            2A01.1	Mesenchymal tumours of meninges
            2A01.2	Primary neoplasm of meninges of unknown or unspecified type
        2A02	Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system
            2A02.0	Gliomas of spinal cord, cranial nerves or other parts of the central nervous system
                2A02.00	Glioblastoma of spinal cord, cranial nerves or other parts of central nervous system
                2A02.0Y	Other specified gliomas of spinal cord, cranial nerves or other parts of the central nervous system
                2A02.0Z	Gliomas of spinal cord, cranial nerves or other parts of the central nervous system, unspecified
            2A02.1	Tumours of cranial or paraspinal nerves
                2A02.10	Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves
                2A02.11	Paraspinal neuroblastoma
                2A02.12	Malignant neoplasm of the optic nerve
                2A02.1Y	Other specified tumours of cranial or paraspinal nerves
                2A02.1Z	Tumours of cranial or paraspinal nerves, unspecified
            2A02.2	Primary neoplasm of spinal cord of unknown or unspecified type
            2A02.3	Benign neoplasm of cranial nerves
            2A02.4	Benign neoplasm of spinal cord
        2A0Z	Other and unspecified neoplasms of brain or central nervous system
    	Neoplasms of haematopoietic or lymphoid tissues
        	Myeloproliferative neoplasms
            2A20	Non mast cell myeloproliferative neoplasms
                2A20.0	Chronic myelogenous leukaemia, BCR-ABL1-positive
                    2A20.00	Chronic myelogenous leukaemia with blast crisis
                    2A20.01	Chronic myelogenous leukaemia, Philadelphia chromosome (Ph1) positive
                    2A20.02	Chronic myelogenous leukaemia, t(9:22)(q34; q11)
                    2A20.03	Naegeli-type monocytic leukaemia
                    2A20.0Y	Other specified chronic myelogenous leukaemia, BCR-ABL1-positive
                    2A20.0Z	Chronic myelogenous leukaemia, BCR-ABL1-positive, unspecified
                2A20.1	Chronic neutrophilic leukaemia
                2A20.2	Primary myelofibrosis
                2A20.3	Chronic eosinophilic leukaemia, not elsewhere classified
                2A20.4	Polycythaemia vera
                2A20.5	Non mast cell myeloproliferative neoplasm, unclassifiable
                2A20.Y	Other specified non mast cell myeloproliferative neoplasms
                2A20.Z	Non mast cell myeloproliferative neoplasms, unspecified
            2A21	Mastocytosis
                2A21.0	Systemic mastocytosis
                    2A21.00	Mast cell leukaemia
                    2A21.0Y	Other specified systemic mastocytosis
                    2A21.0Z	Systemic mastocytosis, unspecified
                2A21.1	Cutaneous mastocytosis
                    2A21.10	Urticaria pigmentosa
                    2A21.1Y	Other specified cutaneous mastocytosis
                    2A21.1Z	Cutaneous mastocytosis, unspecified
                2A21.2	Mast cell sarcoma
                2A21.3	Extracutaneous mastocytoma
                2A21.Y	Other specified mastocytosis
                2A21.Z	Mastocytosis, unspecified
            2A22	Other and unspecified myeloproliferative neoplasms
        	Myelodysplastic syndromes
            2A30	Refractory anaemia
            2A31	Refractory neutropaenia
            2A32	Refractory thrombocytopenia
            2A33	Refractory anaemia with ring sideroblasts
            2A34	Refractory cytopenia with multi-lineage dysplasia
            2A35	Refractory anaemia with excess of blasts
            2A36	Myelodysplastic syndrome with isolated del(5q)
            2A37	Myelodysplastic syndrome, unclassifiable
            2A38	Refractory cytopenia of childhood
            2A3Y	Other specified myelodysplastic syndromes
            2A3Z	Myelodysplastic syndromes, unspecified
        	Myelodysplastic and myeloproliferative neoplasms
            2A40	Chronic myelomonocytic leukaemia
            2A41	Atypical chronic myeloid leukaemia, BCR-ABL1-negative
            2A42	Juvenile myelomonocytic leukaemia
                2A42.0	Juvenile myelomonocytic leukaemia in complete remission
                2A42.Y	Other specified juvenile myelomonocytic leukaemia
                2A42.Z	Juvenile myelomonocytic leukaemia, unspecified
            2A43	Refractory anaemia with ring sideroblasts associated with marked thrombocytosis
            2A44	Myeloproliferative and myelodysplastic disease, unclassifiable
            2A4Y	Other specified myelodysplastic and myeloproliferative neoplasms
            2A4Z	Myelodysplastic and myeloproliferative neoplasms, unspecified
        	Myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB or FGFR1
            2A50	Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement
            2A51	Myeloid neoplasm associated with PDGFRB rearrangement
            2A52	Myeloid or lymphoid neoplasms with FGFR1 abnormalities
            2A5Z	Myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB or FGFR1, unspecified
        2A60	Acute myeloid leukaemias and related precursor neoplasms
            2A60.0	Acute myeloid leukaemia with recurrent genetic abnormalities
            2A60.1	Acute myeloid leukaemia with myelodysplasia-related changes
            2A60.2	Therapy-related myeloid neoplasms
                2A60.20	Therapy related acute myeloid leukaemia or myelodysplastic syndrome
                2A60.2Y	Other specified therapy-related myeloid neoplasms
                2A60.2Z	Therapy-related myeloid neoplasms, unspecified
            2A60.3	Acute myeloid leukaemia, not elsewhere classified by criteria of other types
                2A60.30	Acute myeloid leukaemia with minimal differentiation
                2A60.31	Acute myeloid leukaemia without maturation
                2A60.32	Acute myeloid leukaemia with maturation
                2A60.33	Acute myelomonocytic leukaemia
                2A60.34	Acute monoblastic or monocytic leukaemia
                2A60.35	Acute erythroid leukaemia
                2A60.36	Acute megakaryoblastic leukaemia
                2A60.37	Acute basophilic leukaemia
                2A60.38	Acute panmyelosis with myelofibrosis
                2A60.39	Myeloid sarcoma
                2A60.3Y	Other specified acute myeloid leukaemia, not elsewhere classified by criteria of other types
                2A60.3Z	Acute myeloid leukaemia, unspecified
            2A60.4	Myeloid proliferation associated with Down syndrome
                2A60.40	Transient abnormal myelopoiesis
                2A60.41	Myeloid leukaemia associated with Down syndrome
                2A60.4Y	Other specified myeloid proliferation associated with Down syndrome
                2A60.4Z	Myeloid proliferation associated with Down syndrome, unspecified
            2A60.5	Blastic plasmacytoid dendritic cell neoplasm
            2A60.Y	Other specified acute myeloid leukaemias and related precursor neoplasms
            2A60.Z	Acute myeloid leukaemias and related precursor neoplasms, unspecified
        2A61	Acute leukaemias of ambiguous lineage
        	Precursor lymphoid neoplasms
            2A70	Precursor B-lymphoblastic neoplasms
                2A70.0	B lymphoblastic leukaemia or lymphoma, not elsewhere classified
                2A70.1	B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1
                2A70.Y	Other B-lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities
            2A71	Precursor T-lymphoblastic neoplasms
            2A7Z	Precursor lymphoid neoplasms, unspecified
        	Mature B-cell neoplasms
            2A80	Follicular lymphoma
                2A80.0	Follicular lymphoma grade 1
                2A80.1	Follicular lymphoma grade 2
                2A80.2	Follicular lymphoma grade 3
                2A80.3	Primary cutaneous follicle centre lymphoma
                2A80.4	Paediatric type follicular lymphoma
                2A80.5	Follicular lymphoma in situ
                2A80.6	Follicular lymphoma of small intestine
                2A80.Y	Other specified follicular lymphoma
                2A80.Z	Follicular lymphoma, unspecified
            2A81	Diffuse large B-cell lymphomas
                2A81.0	Primary mediastinal large B-cell lymphoma
                2A81.1	Intravascular large B-cell lymphoma
                2A81.2	Plasmablastic lymphoma
                2A81.3	Lymphomatoid granulomatosis
                2A81.4	T-cell/histiocyte rich large B-cell lymphoma
                2A81.5	Primary diffuse large B-cell lymphoma of central nervous system
                2A81.6	Epstein-Barr Virus-positive diffuse large B-cell lymphoma of the elderly
                2A81.7	Diffuse large B-cell lymphoma associated with chronic inflammation
                2A81.8	ALK-positive large B-cell lymphoma
                2A81.9	Primary effusion lymphoma
                2A81.A	Primary cutaneous diffuse large B-cell lymphoma, leg type
                2A81.Y	Other specified diffuse large B-cell lymphomas
                2A81.Z	Diffuse large B-cell lymphoma, not otherwise specified
            2A82	Mature B-cell neoplasm with leukaemic behaviour
                2A82.0	Chronic lymphocytic leukaemia or small lymphocytic lymphoma
                    2A82.00	Chronic lymphocytic leukaemia of B-cell type
                    2A82.0Y	Other specified chronic lymphocytic leukaemia or small lymphocytic lymphoma
                    2A82.0Z	Chronic lymphocytic leukaemia or small lymphocytic lymphoma, unspecified
                2A82.1	B-cell prolymphocytic leukaemia
                    2A82.10	B-cell prolymphocytic leukaemia in complete remission
                    2A82.1Y	Other specified b-cell prolymphocytic leukaemia
                    2A82.1Z	B-cell prolymphocytic leukaemia, unspecified
                2A82.2	Hairy-cell leukaemia
                2A82.3	Splenic B-cell lymphoma or leukaemia, unclassifiable
                2A82.Y	Other specified mature B-cell neoplasm with leukaemic behaviour
                2A82.Z	Mature B-cell neoplasm with leukaemic behaviour, unspecified
            2A83	Plasma cell neoplasms
                2A83.0	Monoclonal gammopathy of undetermined significance
                2A83.1	Plasma cell myeloma
                2A83.2	Solitary plasmacytoma
                2A83.3	Extraosseous plasmacytoma
                2A83.4	Plasma cell leukaemia
                2A83.5	Monoclonal immunoglobulin deposition disease
                    2A83.50	Heavy chain deposition disease
                    2A83.51	Light and heavy chain deposition disease
                    2A83.52	Light chain deposition disease
                2A83.Y	Other specified multiple myeloma and plasma cell neoplasms
                2A83.Z	Plasma cell neoplasm, unspecified
            2A84	Heavy chain diseases or malignant immunoproliferative diseases
                2A84.0	Alpha heavy chain disease
                2A84.1	Gamma heavy chain disease
                2A84.2	Mu heavy chain disease
                2A84.Y	Other specified malignant immunoproliferative diseases
                2A84.Z	Heavy chain diseases, unspecified
            2A85	Other specified mature B-cell neoplasms or lymphoma
                2A85.0	Nodal marginal zone lymphoma
                2A85.1	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue of stomach
                2A85.2	Extranodal marginal zone B-cell lymphoma, primary site skin
                2A85.3	Extranodal marginal zone B-cell lymphoma, primary site excluding stomach or skin
                2A85.4	Lymphoplasmacytic lymphoma
                2A85.5	Mantle cell lymphoma
                2A85.6	Burkitt lymphoma including Burkitt leukaemia
                2A85.Y	Further specified mature B-cell neoplasms or lymphoma
            2A86	B-cell lymphoma, mixed features
                2A86.0	Malignant lymphoma of B cell type, not elsewhere classified
                2A86.1	B-cell lymphoma unclassifiable with features intermediate between Burkitt lymphoma and diffuse large B-cell lymphoma
                2A86.2	B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma
                2A86.Y	Other specified B-cell lymphoma, mixed features
                2A86.Z	B-cell lymphoma, mixed features, unspecified
            2A8Z	Mature B-cell neoplasms, unspecified
        	Mature T-cell or NK-cell neoplasms
            2A90	Mature T-cell lymphoma, specified types, nodal or systemic
                2A90.0	T-cell prolymphocytic leukaemia
                2A90.1	T-cell large granular lymphocytic leukaemia
                2A90.2	Chronic lymphoproliferative disorders of NK-cells
                2A90.3	Aggressive NK cell leukaemia
                2A90.4	Systemic Epstein-Barr Virus-positive T-cell lymphoma of childhood
                2A90.5	Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated
                2A90.6	Extranodal NK/T-cell lymphoma, nasal type
                2A90.7	Enteropathy associated T-cell lymphoma
                2A90.8	Hepatosplenic T-cell lymphoma
                2A90.9	Angioimmunoblastic T-cell lymphoma
                2A90.A	Anaplastic large cell lymphoma, ALK-positive
                2A90.B	Anaplastic large cell lymphoma, ALK-negative
                2A90.C	Peripheral T-cell lymphoma, not otherwise specified
            	Mature T-cell or NK-cell lymphomas and lymphoproliferative disorders, primary cutaneous specified types
                2B00	Subcutaneous panniculitis-like T-cell lymphoma
                2B01	Mycosis fungoides
                2B02	S̩zary syndrome
                2B03	Primary cutaneous CD30-positive T-cell lymphoproliferative disorders
                    2B03.0	Primary cutaneous CD30-positive anaplastic large cell lymphoma
                    2B03.1	Lymphomatoid papulosis
                2B0Y	Other specified primary cutaneous mature T-cell or NK-cell lymphomas and lymphoproliferative disorders
                2B0Z	Primary cutaneous T-cell lymphoma of undetermined or unspecified type
            2B2Y	Other specified mature T-cell or NK-cell neoplasms
            2B2Z	Mature T-cell or NK-cell neoplasms, unspecified
        2B30	Hodgkin lymphoma
            2B30.0	Nodular lymphocyte predominant Hodgkin lymphoma
            2B30.1	Classical Hodgkin lymphoma
                2B30.10	Nodular sclerosis classical Hodgkin lymphoma
                2B30.11	Lymphocyte-rich classical Hodgkin lymphoma
                2B30.12	Mixed cellularity classical Hodgkin lymphoma
                2B30.13	Lymphocyte depleted classical Hodgkin lymphoma
                2B30.1Z	Classical Hodgkin lymphoma, unspecified
            2B30.Z	Hodgkin lymphoma, unspecified
        2B31	Histiocytic or dendritic cell neoplasms
            2B31.0	Juvenile xanthogranuloma
            2B31.1	Histiocytic sarcoma
            2B31.2	Langerhans cell histiocytosis
                2B31.20	Langerhans cell histiocytosis involving the skin
                2B31.2Y	Other specified Langerhans cell histiocytosis
                2B31.2Z	Langerhans cell histiocytosis, unspecified
            2B31.3	Langerhans cell sarcoma
            2B31.4	Interdigitating dendritic cell sarcoma
            2B31.5	Follicular dendritic cell sarcoma
            2B31.6	Indeterminate cell histiocytosis
            2B31.7	Fibroblastic reticular cell tumour
            2B31.Y	Other specified histiocytic or dendritic cell neoplasms
            2B31.Z	Histiocytic or dendritic cell neoplasms, unspecified
        2B32	Immunodeficiency-associated lymphoproliferative disorders
            2B32.0	Post-transplant lymphoproliferative disorder, early lesion
            2B32.1	Reactive plasmacytic hyperplasia
            2B32.2	Post-transplant lymphoproliferative disorder, Infectious mononucleosis-like
            2B32.3	Polymorphic post-transplant lymphoproliferative disorder
            2B32.Y	Other specified immunodeficiency-associated lymphoproliferative disorders
            2B32.Z	Immunodeficiency-associated lymphoproliferative disorders, unspecified
        2B33	Malignant haematopoietic neoplasms without further specification
            2B33.0	Acute leukaemia, not elsewhere classified
            2B33.1	Myeloid leukaemia
            2B33.2	Chronic myeloid leukaemia, not elsewhere classified
            2B33.3	Lymphoid leukaemia, not elsewhere classified
            2B33.4	Leukaemia, unspecified
            2B33.5	Malignant lymphoma, not elsewhere classified
            2B33.Y	Other malignant haematopoietic neoplasms without further specification
        2B3Z	Neoplasms of haematopoietic or lymphoid tissues, unspecified
    	Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues
        	Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues
            	Malignant mesenchymal neoplasms
                2B50	Chondrosarcoma, primary site
                    2B50.0	Chondrosarcoma of bone or articular cartilage of limbs
                    2B50.1	Chondrosarcoma of bone or articular cartilage of pelvis
                    2B50.2	Chondrosarcoma of bone or articular cartilage of ribs, sternum or clavicle
                    2B50.Y	Chondrosarcoma of bone or articular cartilage of other specified sites
                    2B50.Z	Chondrosarcoma of bone or articular cartilage of unspecified sites
                2B51	Osteosarcoma, primary site
                    2B51.0	Osteosarcoma of bone or articular cartilage of jaw
                    2B51.1	Osteosarcoma of bone or articular cartilage of limbs
                    2B51.2	Osteosarcoma of bone or articular cartilage of pelvis
                    2B51.Y	Osteosarcoma of bone and articular cartilage of other specified sites
                    2B51.Z	Osteosarcoma of bone and articular cartilage of unspecified sites
                2B52	Ewing sarcoma, primary site
                    2B52.0	Ewing sarcoma of bone or articular cartilage of limbs
                    2B52.1	Ewing sarcoma of bone or articular cartilage of pelvis
                    2B52.2	Ewing sarcoma of bone or articular cartilage of ribs
                    2B52.3	Ewing sarcoma of soft tissue
                    2B52.Y	Ewing sarcoma of bone and articular cartilage of other specified sites
                    2B52.Z	Ewing sarcoma of bone and articular cartilage of unspecified sites
                2B53	Fibroblastic or myofibroblastic tumour, primary site
                    2B53.0	Myxofibrosarcoma, primary site
                    2B53.1	Fibroblastic or myofibroblastic tumour of skin
                    2B53.Y	Other specified fibroblastic or myofibroblastic tumour, primary site
                    2B53.Z	Fibroblastic or myofibroblastic tumour, primary site, unspecified
                2B54	Unclassified pleomorphic sarcoma, primary site
                    2B54.0	Unclassified pleomorphic sarcoma of skin
                    2B54.1	Unclassified pleomorphic sarcoma of retroperitoneum or peritoneum
                    2B54.Y	Unclassified pleomorphic sarcoma, primary site, other specified site
                    2B54.Z	Unclassified pleomorphic sarcoma, primary site, unspecified site
                2B55	Rhabdomyosarcoma, primary site
                    2B55.0	Rhabdomyosarcoma of the oral cavity or pharynx
                    2B55.1	Rhabdomyosarcoma of respiratory or intrathoracic organs
                    2B55.2	Rhabdomyosarcoma of male genital organs
                    2B55.Y	Rhabdomyosarcoma, other specified primary site
                    2B55.Z	Rhabdomyosarcoma, unspecified primary site
                2B56	Angiosarcoma, primary site
                    2B56.0	Angiosarcoma of heart
                    2B56.1	Angiosarcoma of skin
                    2B56.2	Angiosarcoma of breast
                    2B56.3	Angiosarcoma of liver
                    2B56.Y	Angiosarcoma, other specified primary site
                    2B56.Z	Angiosarcoma, unspecified primary site
                2B57	Kaposi sarcoma, primary site
                    2B57.0	Kaposi sarcoma of lung
                    2B57.1	Kaposi sarcoma of skin
                    2B57.2	Kaposi sarcoma of gastrointestinal sites
                    2B57.Y	Kaposi sarcoma of other specified primary sites
                    2B57.Z	Kaposi sarcoma of unspecified primary site
                2B58	Leiomyosarcoma, primary site
                    2B58.0	Leiomyosarcoma of retroperitoneum or peritoneum
                    2B58.1	Leiomyosarcoma of uterus
                    2B58.2	Leiomyosarcoma of stomach
                    2B58.Y	Leiomyosarcoma, other specified primary site
                    2B58.Z	Leiomyosarcoma, unspecified primary site
                2B59	Liposarcoma, primary site
                    2B59.0	Liposarcoma of soft tissue of limb
                    2B59.1	Liposarcoma of retroperitoneum or peritoneum
                    2B59.2	Liposarcoma of male genital organs
                    2B59.Y	Liposarcoma, other specified primary site
                    2B59.Z	Liposarcoma, unspecified primary site
                2B5A	Synovial sarcoma, primary site
                    2B5A.0	Synovial sarcoma of soft tissues of limb
                    2B5A.1	Synovial sarcoma of respiratory or intra-thoracic organs
                    2B5A.Y	Synovial sarcoma, other specified primary site
                    2B5A.Z	Synovial sarcoma, unspecified primary site
                2B5B	Gastrointestinal stromal tumour, primary site
                    2B5B.0	Gastrointestinal stromal tumour of stomach
                    2B5B.1	Gastrointestinal stromal tumour of small intestine
                    2B5B.Y	Gastrointestinal stromal tumour of other gastrointestinal sites
                    2B5B.Z	Gastrointestinal stromal tumour of unspecified gastrointestinal sites
                2B5C	Endometrial stromal sarcoma, primary site
                2B5D	Malignant mixed epithelial mesenchymal tumour, primary site
                    2B5D.0	Malignant mixed epithelial mesenchymal tumour of ovary
                    2B5D.1	Malignant mixed epithelial and mesenchymal tumour of corpus uteri
                    2B5D.Y	Malignant mixed epithelial mesenchymal tumour, other specified primary site
                    2B5D.Z	Malignant mixed epithelial mesenchymal tumour, unspecified primary site
                2B5E	Malignant nerve sheath tumour of peripheral nerves or autonomic nervous system, primary site
                2B5F	Sarcoma, not elsewhere classified, primary site
                    2B5F.0	Sarcoma, not elsewhere classified of uterus
                    2B5F.1	Sarcoma, not elsewhere classified of retroperitoneum or peritoneum
                        2B5F.10	Myosarcomas of omentum
                        2B5F.1Y	Other specified sarcoma, not elsewhere classified of retroperitoneum or peritoneum
                        2B5F.1Z	Sarcoma, not elsewhere classified of retroperitoneum or peritoneum, unspecified
                    2B5F.2	Sarcoma, not elsewhere classified of other specified sites
                    2B5F.3	Sarcoma, not elsewhere classified, primary site unknown
                2B5G	Myosarcoma of uterus, part not specified
                2B5H	Well differentiated lipomatous tumour, primary site
                2B5J	Malignant miscellaneous tumours of bone or articular cartilage of other or unspecified sites
                2B5K	Unspecified malignant soft tissue tumours or sarcomas of bone or articular cartilage of other or unspecified sites
                2B5Y	Other specified malignant mesenchymal neoplasms
                2B5Z	Malignant mesenchymal neoplasm of unspecified type
            	Malignant neoplasms of lip, oral cavity or pharynx
                2B60	Malignant neoplasms of lip
                    2B60.0	Basal cell carcinoma of lip
                    2B60.1	Squamous cell carcinoma of lip
                    2B60.Y	Other specified malignant neoplasms of lip
                    2B60.Z	Malignant neoplasms of lip, unspecified
                2B61	Malignant neoplasms of base of tongue
                    2B61.0	Squamous cell carcinoma of the base of the tongue
                    2B61.Y	Other specified malignant neoplasms of base of tongue
                    2B61.Z	Malignant neoplasms of base of tongue, unspecified
                2B62	Malignant neoplasms of other or unspecified parts of tongue
                    2B62.0	Squamous cell carcinoma of other or unspecified parts of tongue
                    2B62.1	Malignant neoplasms of lingual tonsil
                        2B62.10	Squamous cell carcinoma of lingual tonsil
                        2B62.1Z	Malignant neoplasms of lingual tonsil, unspecified
                    2B62.Y	Other specified malignant neoplasms of other and unspecified parts of tongue
                    2B62.Z	Malignant neoplasms of other or unspecified parts of tongue, unspecified
                2B63	Malignant neoplasms of gum
                    2B63.0	Squamous cell carcinoma of gum
                    2B63.Y	Other specified malignant neoplasm of gum
                    2B63.Z	Malignant neoplasms of gum, unspecified
                2B64	Malignant neoplasms of floor of mouth
                    2B64.0	Squamous cell carcinoma of floor of mouth
                    2B64.Y	Other specified malignant neoplasm of floor of mouth
                    2B64.Z	Malignant neoplasms of floor of mouth, unspecified
                2B65	Malignant neoplasms of palate
                    2B65.0	Adenocarcinoma of palate
                    2B65.1	Squamous cell carcinoma of palate
                    2B65.Y	Other specified malignant neoplasm of palate
                    2B65.Z	Malignant neoplasms of palate, unspecified
                2B66	Malignant neoplasms of other or unspecified parts of mouth
                    2B66.0	Squamous cell carcinoma of other or unspecified parts of mouth
                    2B66.Y	Other specified malignant neoplasms of other and unspecified parts of mouth
                    2B66.Z	Malignant neoplasms of other or unspecified parts of mouth, unspecified
                2B67	Malignant neoplasms of parotid gland
                    2B67.0	Adenocarcinoma of parotid gland
                    2B67.1	Squamous cell carcinoma of parotid gland
                    2B67.Y	Other specified malignant neoplasms of parotid gland
                    2B67.Z	Malignant neoplasms of parotid gland, unspecified
                2B68	Malignant neoplasms of submandibular or sublingual glands
                    2B68.0	Adenocarcinoma of submandibular or sublingual glands
                    2B68.1	Squamous cell carcinoma of submandibular or sublingual glands
                    2B68.2	Other specified malignant neoplasms of submandibular or sublingual glands
                    2B68.Z	Malignant neoplasms of submandibular or sublingual glands, unspecified
                2B69	Malignant neoplasms of tonsil
                    2B69.0	Squamous cell carcinoma of tonsil
                    2B69.1	Other specified malignant neoplasms of tonsil
                    2B69.Z	Malignant neoplasms of tonsil, unspecified
                2B6A	Malignant neoplasms of oropharynx
                    2B6A.0	Squamous cell carcinoma of oropharynx
                    2B6A.Y	Other specified malignant neoplasms of oropharynx
                    2B6A.Z	Malignant neoplasms of oropharynx, unspecified
                2B6B	Malignant neoplasms of nasopharynx
                    2B6B.0	Squamous cell carcinoma of nasopharynx
                    2B6B.1	Malignant epithelial neoplasms of nasopharynx, unspecified type
                    2B6B.2	Malignant neoplasms of pharyngeal tonsil
                        2B6B.20	Squamous cell carcinoma of pharyngeal tonsil
                        2B6B.21	Other or unspecified malignant epithelial neoplasm of pharyngeal tonsil
                        2B6B.2Y	Other specified malignant neoplasms of pharyngeal tonsil
                        2B6B.2Z	Malignant neoplasm of pharyngeal tonsil without mention of type
                    2B6B.Y	Other specified malignant neoplasms of nasopharynx
                    2B6B.Z	Malignant neoplasms of nasopharynx, unspecified
                2B6C	Malignant neoplasms of piriform sinus
                    2B6C.0	Squamous cell carcinoma of piriform sinus
                    2B6C.Y	Other specified malignant neoplasms of piriform sinus
                    2B6C.Z	Malignant neoplasms of piriform sinus, unspecified
                2B6D	Malignant neoplasms of hypopharynx
                    2B6D.0	Squamous cell carcinoma of hypopharynx and variants
                    2B6D.Y	Other specified malignant neoplasms of hypopharynx
